Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97,18,LAL,NBA,SG,71,6,1103,176,422,.417,51,136,.375,125,286,.437,.477,136,166,.819,47,85,132,91,49,23,112,102,539
1997-98,19,LAL,NBA,SG,79,1,2056,391,913,.428,75,220,.341,316,693,.456,.469,363,457,.794,79,163,242,199,74,40,157,180,1220
1998-99,20,LAL,NBA,SG,50,50,1896,362,779,.465,27,101,.267,335,678,.494,.482,245,292,.839,53,211,264,190,72,50,157,153,996
1999-00,21,LAL,NBA,SG,66,62,2524,554,1183,.468,46,144,.319,508,1039,.489,.488,331,403,.821,108,308,416,323,106,62,182,220,1485
2000-01,22,LAL,NBA,SG,68,68,2783,701,1510,.464,61,200,.305,640,1310,.489,.484,475,557,.853,104,295,399,338,114,43,220,222,1938
2001-02,23,LAL,NBA,SG,80,80,3063,749,1597,.469,33,132,.250,716,1465,.489,.479,488,589,.829,112,329,441,438,118,35,223,228,2019
2002-03,24,LAL,NBA,SG,82,82,3401,868,1924,.451,124,324,.383,744,1600,.465,.483,601,713,.843,106,458,564,481,181,67,288,218,2461
2003-04,25,LAL,NBA,SG,65,64,2447,516,1178,.438,71,217,.327,445,961,.463,.468,454,533,.852,103,256,359,330,112,28,171,176,1557
2004-05,26,LAL,NBA,SG,66,66,2689,573,1324,.433,131,387,.339,442,937,.472,.482,542,664,.816,95,297,392,398,86,53,270,174,1819
2005-06,27,LAL,NBA,SG,80,80,3277,978,2173,.450,180,518,.347,798,1655,.482,.491,696,819,.850,71,354,425,360,147,30,250,233,2832
2006-07,28,LAL,NBA,SG,77,77,3140,813,1757,.463,137,398,.344,676,1359,.497,.502,667,768,.868,75,364,439,413,111,36,255,205,2430
2007-08,29,LAL,NBA,SG,82,82,3192,775,1690,.459,150,415,.361,625,1275,.490,.503,623,742,.840,94,423,517,441,151,40,257,227,2323
2008-09,30,LAL,NBA,SG,82,82,2960,800,1712,.467,118,336,.351,682,1376,.496,.502,483,564,.856,90,339,429,399,120,37,210,189,2201
2009-10,31,LAL,NBA,SG,73,73,2835,716,1569,.456,99,301,.329,617,1268,.487,.488,439,541,.811,78,313,391,365,113,20,233,187,1970
2010-11,32,LAL,NBA,SG,82,82,2779,740,1639,.451,115,356,.323,625,1283,.487,.487,483,583,.828,83,336,419,388,99,12,243,172,2078
2011-12,33,LAL,NBA,SG,58,58,2232,574,1336,.430,87,287,.303,487,1049,.464,.462,381,451,.845,66,247,313,264,69,18,204,105,1616
2012-13,34,LAL,NBA,SG,78,78,3013,738,1595,.463,132,407,.324,606,1188,.510,.504,525,626,.839,66,367,433,469,106,25,287,173,2133
2013-14,35,LAL,NBA,SG,6,6,177,31,73,.425,3,16,.188,28,57,.491,.445,18,21,.857,2,24,26,38,7,1,34,9,83
2014-15,36,LAL,NBA,SG,35,35,1207,266,713,.373,54,184,.293,212,529,.401,.411,196,241,.813,26,173,199,197,47,7,128,65,782
2015-16,37,LAL,NBA,SF,66,66,1863,398,1113,.358,133,467,.285,265,646,.410,.417,232,281,.826,41,206,247,184,62,13,129,115,1161
